"","month","crude_rate","death","population"
"1","2018/01",26.97,87912,325927236
"2","2018/02",22.1,72061,326031740
"3","2018/03",23.49,76612,326140981
"4","2018/04",21.93,71535,326260373
"5","2018/05",21.44,69984,326392347
"6","2018/06",20.37,66519,326533251
"7","2018/07",20.72,67677,326687501
"8","2018/08",20.47,66910,326850358
"9","2018/09",19.88,65025,327011652
"10","2018/10",21.6,70680,327170529
"11","2018/11",21.95,71837,327310325
"12","2018/12",23.54,77082,327431120
"13","2019/01",24.35,79765,327540066
"14","2019/02",21.97,71977,327635482
"15","2019/03",24,78643,327733545
"16","2019/04",22.04,72270,327842998
"17","2019/05",22.06,72343,327964770
"18","2019/06",20.72,67984,328095474
"19","2019/07",21.02,68996,328239523
"20","2019/08",20.68,67910,328409545
"21","2019/09",20.26,66560,328578004
"22","2019/10",21.75,71501,328744045
"23","2019/11",22.21,73059,328891009
"24","2019/12",23.97,78875,329018969
"25","2020/01",24.47,80587,329342883
"26","2020/02",22.67,74686,329459499
"27","2020/03",24.04,79246,329588430
"28","2020/04",24.99,81543,326260373
"29","2020/05",22.82,74495,326392347
"30","2020/06",21.67,70749,326533251
"31","2020/07",23.08,75401,326687501
"32","2020/08",22.83,74611,326850358
"33","2020/09",21.93,71721,327011652
"34","2020/10",23.18,75851,327170529
"35","2020/11",23.69,77524,327310325
"36","2020/12",26.52,86823,327431120
