"","population","month"
"1","325927236","2018/01"
"2","326031740","2018/02"
"3","326140981","2018/03"
"4","326260373","2018/04"
"5","326392347","2018/05"
"6","326533251","2018/06"
"7","326687501","2018/07"
"8","326850358","2018/08"
"9","327011652","2018/09"
"10","327170529","2018/10"
"11","327310325","2018/11"
"12","327431120","2018/12"
"13","327540066","2019/01"
"14","327635482","2019/02"
"15","327733545","2019/03"
"16","327842998","2019/04"
"17","327964770","2019/05"
"18","328095474","2019/06"
"19","328239523","2019/07"
"20","328409545","2019/08"
"21","328578004","2019/09"
"22","328744045","2019/10"
"23","328891009","2019/11"
"24","329018969","2019/12"
"25","329342883","2020/01"
"26","329459499","2020/02"
"27","329588430","2020/03"
"28","326260373","2020/04"
"29","326392347","2020/05"
"30","326533251","2020/06"
"31","326687501","2020/07"
"32","326850358","2020/08"
"33","327011652","2020/09"
"34","327170529","2020/10"
"35","327310325","2020/11"
"36","327431120","2020/12"
