"","month","gender","crude_rate","death","population"
"1","2018/01","F",25.8809063,42911,165801767
"3","2018/02","F",21.1867465,35128,165801767
"5","2018/03","F",22.4810632,37274,165801767
"7","2018/04","F",20.9304163,34703,165801767
"9","2018/05","F",20.2615452,33594,165801767
"11","2018/06","F",19.2923155,31987,165801767
"13","2018/07","F",19.5251236,32373,165801767
"15","2018/08","F",19.4002758,32166,165801767
"17","2018/09","F",19.0221133,31539,165801767
"19","2018/10","F",20.7977277,34483,165801767
"21","2018/11","F",20.7826494,34458,165801767
"23","2018/12","F",22.4285909,37187,165801767
"2","2018/01","M",27.9707833,45001,160885734
"4","2018/02","M",22.9560441,36933,160885734
"6","2018/03","M",24.4508938,39338,160885734
"8","2018/04","M",22.8932666,36832,160885734
"10","2018/05","M",22.6185375,36390,160885734
"12","2018/06","M",21.4636806,34532,160885734
"14","2018/07","M",21.9435242,35304,160885734
"16","2018/08","M",21.5954511,34744,160885734
"18","2018/09","M",20.8135297,33486,160885734
"20","2018/10","M",22.4985765,36197,160885734
"22","2018/11","M",23.2332595,37379,160885734
"24","2018/12","M",24.7971023,39895,160885734
"25","2019/01","F",23.0901022,38464,166582199
"27","2019/02","F",20.694288,34473,166582199
"29","2019/03","F",22.7629364,37919,166582199
"31","2019/04","F",20.9061954,34826,166582199
"33","2019/05","F",20.8257546,34692,166582199
"35","2019/06","F",19.6479577,32730,166582199
"37","2019/07","F",19.8748727,33108,166582199
"39","2019/08","F",19.5405032,32551,166582199
"41","2019/09","F",19.2187402,32015,166582199
"43","2019/10","F",20.6966892,34477,166582199
"45","2019/11","F",21.0334599,35038,166582199
"47","2019/12","F",22.9322222,38201,166582199
"26","2019/01","M",25.5484867,41301,161657324
"28","2019/02","M",23.1996912,37504,161657324
"30","2019/03","M",25.1915589,40724,161657324
"32","2019/04","M",23.1625757,37444,161657324
"34","2019/05","M",23.2906243,37651,161657324
"36","2019/06","M",21.8078582,35254,161657324
"38","2019/07","M",22.2000458,35888,161657324
"40","2019/08","M",21.8728104,35359,161657324
"42","2019/09","M",21.3692762,34545,161657324
"44","2019/10","M",22.9027668,37024,161657324
"46","2019/11","M",23.5195035,38021,161657324
"48","2019/12","M",25.1606293,40674,161657324
"49","2020/01","F",23.2558616,38897,167256757
"51","2020/02","F",21.3844873,35767,167256757
"53","2020/03","F",22.6059626,37810,167256757
"55","2020/04","F",23.4681102,39252,167256757
"57","2020/05","F",21.1877838,35438,167256757
"59","2020/06","F",19.9388058,33349,167256757
"61","2020/07","F",21.314535,35650,167256757
"63","2020/08","F",21.21708,35487,167256757
"65","2020/09","F",20.3746627,34078,167256757
"67","2020/10","F",21.5608629,36062,167256757
"69","2020/11","F",21.8675769,36575,167256757
"71","2020/12","F",24.2626969,40581,167256757
"50","2020/01","M",25.3909246,41690,164192524
"52","2020/02","M",23.7032717,38919,164192524
"54","2020/03","M",25.2362282,41436,164192524
"56","2020/04","M",25.7569583,42291,164192524
"58","2020/05","M",23.7873193,39057,164192524
"60","2020/06","M",22.7781382,37400,164192524
"62","2020/07","M",24.2099939,39751,164192524
"64","2020/08","M",23.8281251,39124,164192524
"66","2020/09","M",22.9261352,37643,164192524
"68","2020/10","M",24.2331374,39789,164192524
"70","2020/11","M",24.9396251,40949,164192524
"72","2020/12","M",28.1632798,46242,164192524
